tip_label	Name
GCF_002382885.1	Streptomyces sp. WZ.A104 (high G+C Gram-positive bacteria)
GCF_013364315.1	Streptomyces microflavus (high G+C Gram-positive bacteria)
GCF_009863145.1	Streptomyces sp. SID4937 (high G+C Gram-positive bacteria)
GCF_003610995.1	Streptomyces griseus subsp. griseus (high G+C Gram-positive bacteria)
GCF_010548165.1	Streptomyces cyaneofuscatus (high G+C Gram-positive bacteria)
GCF_002094995.1	Streptomyces sp. S8 (high G+C Gram-positive bacteria)
GCF_004000405.1	Streptomyces sp. B27 (high G+C Gram-positive bacteria)
GCF_008039505.1	Streptomyces sp. IB2014 016-6 (high G+C Gram-positive bacteria)
GCF_001723075.1	Streptomyces niveus (high G+C Gram-positive bacteria)
GCF_004563805.1	Streptomyces sp. 4R-3d (high G+C Gram-positive bacteria)
GCF_004151105.1	Streptomyces sp. L-9-10 (high G+C Gram-positive bacteria)
GCF_000718095.1	Streptomyces scopuliridis RB72 (high G+C Gram-positive bacteria)
GCF_000384175.1	Streptomyces purpureus KA281 (high G+C Gram-positive bacteria)
GCF_003752205.1	Streptomyces sp. PanSC19 (high G+C Gram-positive bacteria)
GCF_000830005.1	Streptomyces vietnamensis (high G+C Gram-positive bacteria)
GCF_009872515.1	Streptomyces sp. SID5770 (high G+C Gram-positive bacteria)
GCF_003949805.1	Streptomyces sp. WAC08241 (high G+C Gram-positive bacteria)
GCF_014197485.1	Streptomyces cinereoruber (high G+C Gram-positive bacteria)
GCF_000716625.1	Streptomyces bikiniensis (high G+C Gram-positive bacteria)
GCF_000725545.1	Streptomyces exfoliatus (high G+C Gram-positive bacteria)
GCF_008042145.1	Streptomyces sp. adm13(2018) (high G+C Gram-positive bacteria)
GCF_017877015.1	Streptomyces sp. PvR006 (high G+C Gram-positive bacteria)
GCF_001418135.1	Streptomyces aureus (high G+C Gram-positive bacteria)
GCF_000717595.1	Streptomyces flavochromogenes (high G+C Gram-positive bacteria)
GCF_008639165.1	Streptomyces venezuelae ATCC 10712 (high G+C Gram-positive bacteria)
GCF_001270515.1	Streptomyces viridochromogenes (high G+C Gram-positive bacteria)
GCF_006539185.1	Streptomyces gardneri (high G+C Gram-positive bacteria)
GCF_008642375.1	Streptomyces venezuelae (high G+C Gram-positive bacteria)
GCF_014650895.1	Streptomyces omiyaensis (high G+C Gram-positive bacteria)
GCF_000719555.1	Streptomyces sp. NRRL F-5727 (high G+C Gram-positive bacteria)
GCF_014656075.1	Streptomyces hydrogenans (high G+C Gram-positive bacteria)
GCF_012927245.1	Streptomyces sp. R302 (high G+C Gram-positive bacteria)
GCF_000718525.1	Streptomyces griseus subsp. griseus (high G+C Gram-positive bacteria)
GCF_008634015.1	Streptomyces filamentosus (high G+C Gram-positive bacteria)
GCF_004117935.1	Streptomyces roseicoloratus (high G+C Gram-positive bacteria)
GCF_015912975.1	Streptomyces clavuligerus (high G+C Gram-positive bacteria)
GCF_009832925.1	Streptomyces sp. Tu 2975 (high G+C Gram-positive bacteria)
GCF_001278075.1	Streptomyces pristinaespiralis (high G+C Gram-positive bacteria)
GCF_004364395.1	Streptomyces sp. KS 21 (high G+C Gram-positive bacteria)
GCF_001746425.1	Streptomyces subrutilus (high G+C Gram-positive bacteria)
GCF_016755875.1	Streptomyces spororaveus (high G+C Gram-positive bacteria)
GCF_000718935.1	Streptomyces sp. NRRL S-237 (high G+C Gram-positive bacteria)
GCF_000716685.1	Streptomyces virginiae (high G+C Gram-positive bacteria)
GCF_000718955.1	Streptomyces sp. NRRL S-575 (high G+C Gram-positive bacteria)
GCF_017639205.1	Streptomyces nojiriensis (high G+C Gram-positive bacteria)
GCF_008642275.1	Streptomyces venezuelae (high G+C Gram-positive bacteria)
GCF_002080455.1	Streptomyces sp. Sge12 (high G+C Gram-positive bacteria)
GCF_017876235.1	Streptomyces virginiae (high G+C Gram-positive bacteria)
GCF_001941845.1	Streptomyces sp. TN58 (high G+C Gram-positive bacteria)
GCF_000725555.1	Streptomyces erythrochromogenes (high G+C Gram-positive bacteria)
GCF_004795115.1	Streptomyces sp. A0592 (high G+C Gram-positive bacteria)
GCF_000612545.2	Streptomyces sp. PCS3-D2 (high G+C Gram-positive bacteria)
GCF_001953875.1	Streptomyces amritsarensis (high G+C Gram-positive bacteria)
GCF_000725805.1	Streptomyces xanthophaeus (high G+C Gram-positive bacteria)
GCF_008704535.1	Streptomyces subrutilus (high G+C Gram-positive bacteria)
GCF_000966975.1	Streptomyces katrae (high G+C Gram-positive bacteria)
GCF_002028425.1	Streptomyces katrae (high G+C Gram-positive bacteria)
GCF_003949875.1	Streptomyces sp. WAC07149 (high G+C Gram-positive bacteria)
GCF_003950035.1	Streptomyces sp. W1SF4 (high G+C Gram-positive bacteria)
GCF_000718155.1	Streptomyces lavendulae subsp. lavendulae (high G+C Gram-positive bacteria)
GCF_004195945.1	Streptomyces albidoflavus (high G+C Gram-positive bacteria)
GCF_002802945.1	Streptomyces sp. TSRI0384-2 (high G+C Gram-positive bacteria)
GCF_000716675.1	Streptomyces alboflavus (high G+C Gram-positive bacteria)
GCF_008704495.1	Streptomyces kanamyceticus (high G+C Gram-positive bacteria)
GCF_000009765.2	Streptomyces avermitilis MA-4680 = NBRC 14893 (high G+C Gram-positive bacteria)
GCF_008704995.1	Streptomyces nodosus (high G+C Gram-positive bacteria)
GCF_009857135.1	Streptomyces sp. HM190 (high G+C Gram-positive bacteria)
GCF_002761895.1	Streptomyces sp. JV178 (high G+C Gram-positive bacteria)
GCF_001418645.1	Streptomyces neyagawaensis (high G+C Gram-positive bacteria)
GCF_000317595.1	Streptomyces ipomoeae 91-03 (high G+C Gram-positive bacteria)
GCF_900215595.1	Streptomyces sp. 1222.2 (high G+C Gram-positive bacteria)
GCF_000383595.1	Streptomyces bottropensis ATCC 25435 (high G+C Gram-positive bacteria)
GCF_001485125.1	Streptomyces scabiei (high G+C Gram-positive bacteria)
GCF_014650155.1	Streptomyces purpurascens (high G+C Gram-positive bacteria)
GCF_900215615.1	Streptomyces sp. Ag82_G6-1 (high G+C Gram-positive bacteria)
GCF_014207295.1	Streptomyces sp. AK010 (high G+C Gram-positive bacteria)
GCF_014701095.1	Streptomyces tuirus (high G+C Gram-positive bacteria)
GCF_000720215.1	Streptomyces sp. NRRL S-475 (high G+C Gram-positive bacteria)
GCF_014202475.1	Streptomyces paradoxus (high G+C Gram-positive bacteria)
GCF_009872555.1	Streptomyces sp. SID5643 (high G+C Gram-positive bacteria)
GCF_003041235.1	Streptomyces sp. A244 (high G+C Gram-positive bacteria)
GCF_002891435.1	Streptomyces cahuitamycinicus (high G+C Gram-positive bacteria)
GCF_004803895.1	Streptomyces hawaiiensis (high G+C Gram-positive bacteria)
GCF_000955965.1	Streptomyces variegatus (high G+C Gram-positive bacteria)
GCF_014651075.1	Streptomyces djakartensis (high G+C Gram-positive bacteria)
GCF_002150735.1	Streptomyces africanus (high G+C Gram-positive bacteria)
GCF_000226455.1	Streptomyces chartreusis NRRL 12338 (high G+C Gram-positive bacteria)
GCF_014205255.1	Streptomyces caelestis (high G+C Gram-positive bacteria)
GCF_008705135.1	Streptomyces coeruleorubidus (high G+C Gram-positive bacteria)
GCF_008704515.1	Streptomyces viridosporus T7A (high G+C Gram-positive bacteria)
GCF_009852415.1	Streptomyces sp. Tu 3180 (high G+C Gram-positive bacteria)
GCF_014203535.1	Streptomyces griseomycini (high G+C Gram-positive bacteria)
GCF_000719785.1	Streptomyces sp. NRRL S-1314 (high G+C Gram-positive bacteria)
GCF_900079415.1	Streptomyces sp. F-7 (high G+C Gram-positive bacteria)
GCF_018966745.1	Streptomyces sp. PAM3C (high G+C Gram-positive bacteria)
GCF_000709915.1	Streptomyces griseorubens (high G+C Gram-positive bacteria)
GCF_002899455.1	Streptomyces sp. DH-12 (high G+C Gram-positive bacteria)
GCF_007828695.1	Streptomyces sp. T12 (high G+C Gram-positive bacteria)
GCF_018638305.1	Streptomyces sp. Vc74B-19 (high G+C Gram-positive bacteria)
GCF_003945525.1	Streptomyces sp. WAC 01438 (high G+C Gram-positive bacteria)
GCF_014649515.1	Streptomyces pilosus (high G+C Gram-positive bacteria)
GCF_014649995.1	Streptomyces griseoflavus (high G+C Gram-positive bacteria)
GCF_006715925.1	Streptomyces sp. SLBN-134 (high G+C Gram-positive bacteria)
GCF_019049255.1	Streptomyces sp. AC558_RSS880 (high G+C Gram-positive bacteria)
GCF_000721605.1	Streptomyces sp. NRRL S-37 (high G+C Gram-positive bacteria)
GCF_000718375.1	Streptomyces sp. NRRL F-2305 (high G+C Gram-positive bacteria)
GCF_014650615.1	Streptomyces albaduncus (high G+C Gram-positive bacteria)
GCF_007829875.1	Streptomyces capillispiralis (high G+C Gram-positive bacteria)
GCF_006716135.1	Streptomyces calvus (high G+C Gram-positive bacteria)
GCF_010548465.1	Streptomyces sp. SID14436 (high G+C Gram-positive bacteria)
GCF_000829695.1	Streptomyces sp. NBRC 110035 (high G+C Gram-positive bacteria)
GCF_001418395.1	Streptomyces prasinopilosus (high G+C Gram-positive bacteria)
GCF_001419705.1	Streptomyces prasinus (high G+C Gram-positive bacteria)
GCF_001418175.1	Streptomyces hirsutus (high G+C Gram-positive bacteria)
GCF_014649135.1	Streptomyces niveoruber (high G+C Gram-positive bacteria)
GCF_018614415.1	Streptomyces sp. ISL-12 (high G+C Gram-positive bacteria)
GCF_002005565.1	Streptomyces sp. JHA26 (high G+C Gram-positive bacteria)
GCF_001905385.1	Streptomyces sp. CB02414 (high G+C Gram-positive bacteria)
GCF_000720675.1	Streptomyces sp. NRRL WC-3795 (high G+C Gram-positive bacteria)
GCF_000739045.1	Streptomyces mutabilis (high G+C Gram-positive bacteria)
GCF_018070175.1	Streptomyces sp. RK74B (high G+C Gram-positive bacteria)
GCF_014650435.1	Streptomyces tendae (high G+C Gram-positive bacteria)
GCF_002939385.1	Streptomyces sp. MH60 (high G+C Gram-positive bacteria)
GCF_018070205.1	Streptomyces sp. RM72 (high G+C Gram-positive bacteria)
GCF_009862445.1	Streptomyces sp. SID7813 (high G+C Gram-positive bacteria)
GCF_003369795.1	Streptomyces sp. CB09001 (high G+C Gram-positive bacteria)
GCF_002188335.1	Streptomyces sp. CS159 (high G+C Gram-positive bacteria)
GCF_004364245.1	Streptomyces sp. BK208 (high G+C Gram-positive bacteria)
GCF_018982965.1	Streptomyces sp. A108 (high G+C Gram-positive bacteria)
GCF_015244315.1	Streptomyces olivaceus (high G+C Gram-positive bacteria)
GCF_000721235.1	Streptomyces olivaceus (high G+C Gram-positive bacteria)
GCF_018070535.1	Streptomyces sp. b94 (high G+C Gram-positive bacteria)
GCF_001267885.1	Streptomyces ambofaciens ATCC 23877 (high G+C Gram-positive bacteria)
GCF_000931445.1	Streptomyces cyaneogriseus subsp. noncyanogenus (high G+C Gram-positive bacteria)
GCF_011008945.1	Streptomyces harenosi (high G+C Gram-positive bacteria)
GCF_000444875.1	Streptomyces collinus Tu 365 (high G+C Gram-positive bacteria)
GCF_002242805.1	Streptomyces diastatochromogenes (high G+C Gram-positive bacteria)
GCF_007827595.1	Streptomyces sp. BK340 (high G+C Gram-positive bacteria)
GCF_001866665.1	Streptomyces monashensis (high G+C Gram-positive bacteria)
GCF_001866675.1	Streptomyces sp. MUSC 14 (high G+C Gram-positive bacteria)
GCF_009604455.1	Streptomyces sp. RB17 (high G+C Gram-positive bacteria)
GCF_001735805.1	Streptomyces fodineus (high G+C Gram-positive bacteria)
GCF_000816485.1	Streptomyces sp. MUSC 125 (high G+C Gram-positive bacteria)
GCF_900105245.1	Streptomyces sp. 1222.5 (high G+C Gram-positive bacteria)
GCF_001905855.1	Streptomyces sp. CB01883 (high G+C Gram-positive bacteria)
GCF_000718775.1	Streptomyces sp. NRRL S-31 (high G+C Gram-positive bacteria)
GCF_013870595.1	Streptomyces sp. WELS2 (high G+C Gram-positive bacteria)
GCF_016860525.1	Streptomyces rubradiris (high G+C Gram-positive bacteria)
GCF_000718625.1	Streptomyces lavenduligriseus (high G+C Gram-positive bacteria)
GCF_017526105.1	Streptomyces cyanogenus (high G+C Gram-positive bacteria)
GCF_000720135.1	Streptomyces sp. NRRL S-1022 (high G+C Gram-positive bacteria)
GCF_002251155.1	Streptomyces sp. FBKL.4005 (high G+C Gram-positive bacteria)
GCF_014648635.1	Streptomyces cinerochromogenes (high G+C Gram-positive bacteria)
GCF_014650735.1	Streptomyces canarius (high G+C Gram-positive bacteria)
GCF_014650115.1	Streptomyces olivaceoviridis (high G+C Gram-positive bacteria)
GCF_013046785.1	Streptomyces argyrophylli (high G+C Gram-positive bacteria)
GCF_014203595.1	Streptomyces echinatus (high G+C Gram-positive bacteria)
GCF_016741855.1	Streptomyces musisoli (high G+C Gram-positive bacteria)
GCF_900104815.1	Streptomyces misionensis (high G+C Gram-positive bacteria)
GCF_000980885.2	Streptomyces malaysiense (high G+C Gram-positive bacteria)
GCF_003933295.1	Streptomyces griseofuscus (high G+C Gram-positive bacteria)
GCF_008016805.1	Streptomyces lavendulae (high G+C Gram-positive bacteria)
GCF_009834145.1	Streptomyces sp. HF10 (high G+C Gram-positive bacteria)
GCF_000719895.1	Streptomyces sp. NRRL F-2799 (high G+C Gram-positive bacteria)
GCF_004328625.1	Streptomyces seoulensis (high G+C Gram-positive bacteria)
GCF_004217355.1	Streptomyces sp. BK022 (high G+C Gram-positive bacteria)
GCF_019090105.1	Streptomyces sp. BV129 (high G+C Gram-positive bacteria)
GCF_017614965.1	Streptomyces griseorubiginosus (high G+C Gram-positive bacteria)
GCF_001685355.1	Streptomyces lincolnensis (high G+C Gram-positive bacteria)
GCF_000721105.1	Streptomyces cellulosae (high G+C Gram-positive bacteria)
GCF_001514265.1	Streptomyces resistomycificus (high G+C Gram-positive bacteria)
GCF_019049245.1	Streptomyces sp. AC555_RSS877 (high G+C Gram-positive bacteria)
GCF_016612545.1	Streptomyces sp. MBT65 (high G+C Gram-positive bacteria)
GCF_000367365.1	Streptomyces prunicolor NBRC 13075 (high G+C Gram-positive bacteria)
GCF_016612625.1	Streptomyces sp. MBT62 (high G+C Gram-positive bacteria)
GCF_900105265.1	Streptomyces sp. 3213.3 (high G+C Gram-positive bacteria)
GCF_000718165.1	Streptomyces fulvoviolaceus (high G+C Gram-positive bacteria)
GCF_003143935.1	Streptomyces sp. Act143 (high G+C Gram-positive bacteria)
GCF_003955715.1	Streptomyces aquilus (high G+C Gram-positive bacteria)
GCF_900206255.1	Streptomyces sp. TLI_55 (high G+C Gram-positive bacteria)
GCF_015163075.1	Streptomyces justiciae (high G+C Gram-positive bacteria)
GCF_010548375.1	Streptomyces sp. SID13726 (high G+C Gram-positive bacteria)
GCF_000719505.1	Streptomyces sp. NRRL B-3229 (high G+C Gram-positive bacteria)
GCF_001513985.1	Streptomyces griseorubiginosus (high G+C Gram-positive bacteria)
GCF_006516935.1	Streptomyces griseorubiginosus (high G+C Gram-positive bacteria)
GCF_018128905.1	Streptomyces sp. A2-16 (high G+C Gram-positive bacteria)
GCF_003933965.1	Streptomyces sp. RP5T (high G+C Gram-positive bacteria)
GCF_002156095.1	Streptomyces sp. NRRL B-24085 (high G+C Gram-positive bacteria)
GCF_001513955.1	Streptomyces pseudovenezuelae (high G+C Gram-positive bacteria)
GCF_003443735.1	Streptomyces sp. CC0208 (high G+C Gram-positive bacteria)
GCF_001746295.1	Streptomyces sp. LUP47B (high G+C Gram-positive bacteria)
GCF_000349325.1	Streptomyces davaonensis JCM 4913 (high G+C Gram-positive bacteria)
GCF_900091315.1	Streptomyces sp. DI166 (high G+C Gram-positive bacteria)
GCF_014596915.1	Streptomyces sp. TRM68416 (high G+C Gram-positive bacteria)
GCF_004028635.1	Streptomyces cyaneus (high G+C Gram-positive bacteria)
GCF_001513975.1	Streptomyces curacoi (high G+C Gram-positive bacteria)
GCF_019049285.1	Streptomyces sp. AC550_RSS872 (high G+C Gram-positive bacteria)
GCF_001514235.1	Streptomyces caeruleatus (high G+C Gram-positive bacteria)
GCF_003963535.1	Streptomyces cyaneochromogenes (high G+C Gram-positive bacteria)
GCF_008704715.1	Streptomyces chartreusis (high G+C Gram-positive bacteria)
GCF_003977875.1	Streptomyces sp. WAC 01325 (high G+C Gram-positive bacteria)
GCF_000225525.1	Streptomyces zinciresistens K42 (high G+C Gram-positive bacteria)
GCF_008973465.1	Streptomyces sp. SS1-1 (high G+C Gram-positive bacteria)
GCF_002156055.1	Streptomyces viridochromogenes (high G+C Gram-positive bacteria)
GCF_001509795.1	Streptomyces sp. NRRL WC-3605 (high G+C Gram-positive bacteria)
GCF_003363195.1	Streptomyces sp. M7 (high G+C Gram-positive bacteria)
GCF_008704575.1	Streptomyces galilaeus (high G+C Gram-positive bacteria)
GCF_009377175.1	Streptomyces adustus (high G+C Gram-positive bacteria)
GCF_000719865.1	Streptomyces albus subsp. albus (high G+C Gram-positive bacteria)
GCF_003947265.2	Streptomyces sp. WAC 00631 (high G+C Gram-positive bacteria)
GCF_000700005.2	Streptomyces xinghaiensis (high G+C Gram-positive bacteria)
GCF_000745345.1	Actinacidiphila yeochonensis CN732 (high G+C Gram-positive bacteria)
GCF_000717725.1	Streptomyces pyridomyceticus (high G+C Gram-positive bacteria)
GCF_900105395.1	Streptomyces sp. TLI_053 (high G+C Gram-positive bacteria)
GCF_000380165.1	Wenjunlia vitaminophila DSM 41686 (high G+C Gram-positive bacteria)
GCF_000813365.1	Streptomyces albus (high G+C Gram-positive bacteria)
GCF_000297635.1	Streptomyces sp. AA0539 (high G+C Gram-positive bacteria)
GCF_001652895.1	Streptomyces hygroscopicus (high G+C Gram-positive bacteria)
GCF_000968685.2	Streptomyces antioxidans (high G+C Gram-positive bacteria)
GCF_014076605.1	Streptomyces sp. GMR22 (high G+C Gram-positive bacteria)
GCF_016741935.1	Streptomyces endocoffeicus (high G+C Gram-positive bacteria)
GCF_014205315.1	Streptomyces rapamycinicus (high G+C Gram-positive bacteria)
GCF_001509775.1	Streptomyces violaceusniger (high G+C Gram-positive bacteria)
GCF_000147815.2	Streptomyces violaceusniger Tu 4113 (high G+C Gram-positive bacteria)
GCF_003595545.1	Streptomyces sp. 11-1-2 (high G+C Gram-positive bacteria)
GCF_001640565.1	Streptomyces sp. RTd22 (high G+C Gram-positive bacteria)
GCF_000092385.1	Streptomyces bingchenggensis BCW-1 (high G+C Gram-positive bacteria)
GCF_002224125.2	Streptomyces sp. NBS 14/10 (high G+C Gram-positive bacteria)
GCF_000718635.1	Streptomyces varsoviensis (high G+C Gram-positive bacteria)
GCF_013394065.1	Streptomyces rectiverticillatus (high G+C Gram-positive bacteria)
GCF_000719265.1	Streptomyces roseoverticillatus (high G+C Gram-positive bacteria)
GCF_015475835.1	Streptomyces sp. NRRL B-1677 (high G+C Gram-positive bacteria)
GCF_003970715.1	Streptomyces luteoverticillatus (high G+C Gram-positive bacteria)
GCF_002939475.1	Streptomyces cinnamoneus (high G+C Gram-positive bacteria)
GCF_000342125.1	Streptomyces mobaraensis NBRC 13819 = DSM 40847 (high G+C Gram-positive bacteria)
GCF_014253015.1	Streptomyces sp. TYQ1024 (high G+C Gram-positive bacteria)
GCF_001187435.1	Streptomyces caatingaensis (high G+C Gram-positive bacteria)
GCF_000715845.1	Streptomyces monomycini (high G+C Gram-positive bacteria)
GCF_003865155.1	Streptomyces paromomycinus (high G+C Gram-positive bacteria)
GCF_001905005.1	Streptomyces sp. CB02923 (high G+C Gram-positive bacteria)
GCF_000719185.1	Streptomyces rimosus subsp. rimosus (high G+C Gram-positive bacteria)
GCF_008704655.1	Streptomyces rimosus (high G+C Gram-positive bacteria)
GCF_008634025.1	Streptomyces albofaciens JCM 4342 (high G+C Gram-positive bacteria)
GCF_000718015.1	Streptomyces catenulae (high G+C Gram-positive bacteria)
GCF_009862505.1	Streptomyces sp. SID7805 (high G+C Gram-positive bacteria)
GCF_001294335.1	Streptomyces chattanoogensis (high G+C Gram-positive bacteria)
GCF_014648695.1	Streptomyces albospinus (high G+C Gram-positive bacteria)
GCF_009834125.1	Streptomyces sp. GS7 (high G+C Gram-positive bacteria)
GCF_000805335.1	Streptomyces sp. CT34 (high G+C Gram-positive bacteria)
GCF_002891315.1	Streptomyces noursei (high G+C Gram-positive bacteria)
GCF_000816025.1	Streptomyces sp. 769 (high G+C Gram-positive bacteria)
GCF_000935185.3	Streptomyces noursei (high G+C Gram-positive bacteria)
GCF_003389455.1	Streptomyces inhibens (high G+C Gram-positive bacteria)
GCF_000829715.2	Streptomyces lydicamycinicus (high G+C Gram-positive bacteria)
GCF_009811575.1	Streptomyces glebosus (high G+C Gram-positive bacteria)
GCF_009811635.1	Streptomyces tubercidicus (high G+C Gram-positive bacteria)
GCF_003994375.1	Streptomyces lydicus (high G+C Gram-positive bacteria)
GCF_011290345.1	Streptomyces sp. ID38640 (high G+C Gram-positive bacteria)
GCF_001270575.1	Streptomyces decoyicus (high G+C Gram-positive bacteria)
GCF_002154415.1	Streptomyces angustmyceticus (high G+C Gram-positive bacteria)
