Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily	SignalP_secretion_signal
Q#1 - WP_037637305.1	specific	200478	374	911	1.04713e-123	380.446	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#1 - WP_037637305.1	specific	367491	162	264	7.06119e-36	131.069	pfam03423	CBM_25	 - 	cl23798	Yes
Q#1 - WP_037637305.1	specific	367491	54	155	3.1242e-23	95.2454	pfam03423	CBM_25	 - 	cl23798	Yes
Q#1 - WP_037637305.1	superfamily	476817	415	651	9.619520000000001e-18	87.1269	cl38930	AmyAc_family superfamily	C	 - 	Yes
Q#1 - WP_037637305.1	specific	238020	269	343	5.81732e-05	42.8687	cd00063	FN3	 - 	cl21522	Yes
Q#2 - WP_133898225.1	superfamily	273974	929	1779	0.0	983.547	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#2 - WP_133898225.1	specific	200478	47	516	1.13494e-140	438.996	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#2 - WP_133898225.1	specific	461022	716	812	5.70449e-31	117.857	pfam03714	PUD	 - 	cl47835	Yes
Q#2 - WP_133898225.1	specific	199215	823	912	2.54724e-27	107.418	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#2 - WP_133898225.1	specific	426991	529	604	7.00283e-05	43.4822	pfam02806	Alpha-amylase_C	 - 	cl02706	Yes
Q#3 - WP_425337727.1	superfamily	476817	53	450	6.34362e-113	351.17	cl38930	AmyAc_family superfamily	 - 	 - 	Yes
Q#3 - WP_425337727.1	specific	199215	750	842	3.50996e-29	112.04	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#3 - WP_425337727.1	specific	465594	857	966	1.6827900000000003e-24	98.8465	pfam17967	Pullulanase_N2	 - 	cl40248	Yes
Q#3 - WP_425337727.1	specific	461022	653	732	6.98463e-17	76.6408	pfam03714	PUD	 - 	cl47835	Yes
Q#3 - WP_425337727.1	superfamily	215246	134	305	8.88025e-05	46.5892	cl33494	PLN02447 superfamily	NC	 - 	Yes
Q#3 - WP_425337727.1	superfamily	237052	428	543	0.00192824	42.1958	cl36104	PRK12313 superfamily	N	 - 	Yes
Q#4 - WP_121829962.1	specific	200456	34	375	6.86287e-169	482.063	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#4 - WP_121829962.1	specific	99883	469	563	1.97067e-44	152.518	cd05808	CBM20_alpha_amylase	 - 	cl15347	Yes
Q#4 - WP_121829962.1	specific	214749	381	457	2.82648e-32	118.88	smart00632	Aamy_C	 - 	cl02706	Yes
Q#5 - WP_093722352.1	superfamily	273974	944	1792	0.0	1020.91	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#5 - WP_093722352.1	specific	200478	61	527	1.0478399999999999e-147	458.641	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#5 - WP_093722352.1	specific	461022	731	827	1.17179e-32	122.48	pfam03714	PUD	 - 	cl47835	Yes
Q#5 - WP_093722352.1	specific	461022	839	931	6.72483e-31	117.472	pfam03714	PUD	 - 	cl47835	Yes
Q#5 - WP_093722352.1	specific	426991	546	616	1.54214e-05	45.023	pfam02806	Alpha-amylase_C	 - 	cl02706	Yes
Q#6 - WP_142172534.1	specific	200456	41	382	4.87685e-170	485.144	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#6 - WP_142172534.1	specific	99883	479	572	1.33204e-40	142.118	cd05808	CBM20_alpha_amylase	 - 	cl15347	Yes
Q#6 - WP_142172534.1	specific	214749	388	464	1.81104e-30	113.872	smart00632	Aamy_C	 - 	cl02706	Yes
Q#7 - WP_107423266.1	superfamily	273974	939	1787	0.0	1007.04	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#7 - WP_107423266.1	specific	200478	49	524	4.86144e-144	448.626	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#7 - WP_107423266.1	specific	461022	726	818	5.20448e-32	120.554	pfam03714	PUD	 - 	cl47835	Yes
Q#7 - WP_107423266.1	specific	199215	833	926	5.05752e-30	115.122	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
